Time	Bacillaceae	Enterobacteriaceae	Enterococcaceae	Lachnospiraceae	Lactobacillaceae	Paenibacillaceae	Xanthomonadaceae
1	0.0019230014520623209	0.0024724304383658413	0.0036890231937522075	0	0.9905027275224677	0.0014128173933519092	0
2	0	0.0031097708731590424	0.0010029347621227215	0.0013664144745698823	0.9932015831560809	0	0
3	5.426802017493456e-4	0.05406850539487965	0.002689459235140139	0	0.9408079550533104	0	6.145055225691119e-4
4	0.023662337198717225	0	0.12401159020187656	0	0.8490715343927936	0	0
5	0.4339324170489994	0.0027005583453659308	0.035087546385046395	1.1334460208652628e-4	0.5278704520478413	0	1.7740894239630202e-4
6	0.1926104848810163	0.044104490964394345	0.0844068706387547	0	0.6656736446591519	0	9.39345142243693e-4
7	0.3099768613039336	0.005621342044371852	0.061113379610725466	0	0.6185245678508234	0	7.62215870423302e-4
8	0.21308602407173788	0.005339425142350575	0.06433905008694467	0	0.7149306147499063	0	1.7047972996010773e-4
9	0.219290638366675	3.527699792747637e-4	0.1402334161362868	0	0.6369482457042905	0	8.084312025046669e-4
10	0.09719678046072718	0.0014321398834304746	0.04633916180960311	0	0.8440410768803774	3.7746322509020264e-4	4.884818207049681e-4
