Family,1d,2d,3d,4d,5d,6d,7d,8d,9d,10d
Acetobacteraceae,0,0,0,0,0,1.6103059581320451e-4,0,0,0,0
Anaerococcus,0,0,7.262337993998595e-4,0,0,0,0,0,0,0
Bacillaceae,0.0019230014520623209,0,5.426802017493456e-4,0.023662337198717225,0.4339324170489994,0.1926104848810163,0.3099768613039336,0.21308602407173788,0.219290638366675,0.09719678046072718
Chitinophagaceae,0,0,0,0,1.1827262826420133e-4,0,0,0,0,0
Chthoniobacteraceae,0,0,5.506607929515419e-4,0,0,0,0,0,0,0
Comamonadaceae,0,0,0,0,0,6.709608158883522e-4,0,0,7.569855805270972e-4,0
Corynebacteriaceae,0,0,0,1.7254407311108864e-4,0,0.0010466988727858293,5.852729005036069e-4,0.0014593064884585224,0,0.0029864002220371913
Enterobacteriaceae,0.0024724304383658413,0.0031097708731590424,0.05406850539487965,0,0.0027005583453659308,0.044104490964394345,0.005621342044371852,0.005339425142350575,3.527699792747637e-4,0.0014321398834304746
Enterococcaceae,0.0036890231937522075,0.0010029347621227215,0.002689459235140139,0.12401159020187656,0.035087546385046395,0.0844068706387547,0.061113379610725466,0.06433905008694467,0.1402334161362868,0.04633916180960311
Geodermatophilaceae,0,0,0,0,0,0,0,0,1.837343642056061e-4,0
Lachnospiraceae,0,0.0013664144745698823,0,0,1.1334460208652628e-4,0,0,0,0,0
Lactobacillaceae,0.9905027275224677,0.9932015831560809,0.9408079550533104,0.8490715343927936,0.5278704520478413,0.6656736446591519,0.6185245678508234,0.7149306147499063,0.6369482457042905,0.8440410768803774
Leptotrichiaceae,0,0,0,2.677408031034134e-4,0,2.3259974950796207e-4,0,4.159705411026629e-4,2.572281098878485e-4,0.00649458784346378
Microbacteriaceae,0,0.001198136829918419,0,0,0,0,0,0,3.527699792747637e-4,0
Micrococcaceae,0,0,0,0,0,0,9.391588403429972e-4,0,0,0
Moraxellaceae,0,0,0,0,0,0,0,0,0,5.217873993893978e-4
Muribaculaceae,0,0,0,0,0,0,0.001415543759357561,0,0,0
Obscuribacteraceae,0,0,0,0,0,0,0,1.0910702717446896e-4,0,0
Paenibacillaceae,0.0014128173933519092,0,0,0,0,0,0,0,0,3.7746322509020264e-4
Propionibacteriaceae,0,0,0,0.0011185615774098158,0,1.6103059581320451e-4,0,1.500221623648948e-4,0,0
Rhizobiaceae,0,0,0,5.354816062068268e-4,0,0,0,0,0,1.2212045517624202e-4
Roseiflexaceae,0,0,0,0,0,0,0,0,5.365043434803698e-4,0
Rubinisphaeraceae,0,0,0,0,0,0,5.17217912072955e-4,0,0,0
Sphingomonadaceae,0,1.2115990414905361e-4,0,0,0,6.620146716765074e-4,2.313869606642167e-4,0,2.7927623359252126e-4,0
Staphylococcaceae,0,0,0,0.001160210146781458,0,0.00878511361603149,0,0,0,0
Verrucomicrobiaceae,0,0,0,0,0,5.457147969225263e-4,3.1305294678099906e-4,0,0,0
Xanthomonadaceae,0,0,6.145055225691119e-4,0,1.7740894239630202e-4,9.39345142243693e-4,7.62215870423302e-4,1.7047972996010773e-4,8.084312025046669e-4,4.884818207049681e-4
