n_neighbour,cluster_type,cluster_size,sample_name
2,ward.D,5,im
3,ward.D,3,im
4,ward.D,3,im
5,ward.D,3,im
6,ward.D,2,im
7,ward.D,2,im
8,ward.D,2,im
9,ward.D,2,im
10,ward.D,2,im
11,ward.D,2,im
12,ward.D,2,im
13,ward.D,2,im
14,ward.D,2,im
15,ward.D,2,im
16,ward.D,2,im
17,ward.D,2,im
18,ward.D,2,im
19,ward.D,2,im
20,ward.D,2,im
21,ward.D,2,im
22,ward.D,2,im
23,ward.D,2,im
24,ward.D,2,im
25,ward.D,2,im
26,ward.D,2,im
27,ward.D,2,im
28,ward.D,2,im
29,ward.D,2,im
30,ward.D,3,im
2,ward.D2,5,im
3,ward.D2,3,im
4,ward.D2,3,im
5,ward.D2,3,im
6,ward.D2,2,im
7,ward.D2,2,im
8,ward.D2,2,im
9,ward.D2,2,im
10,ward.D2,2,im
11,ward.D2,2,im
12,ward.D2,2,im
13,ward.D2,2,im
14,ward.D2,2,im
15,ward.D2,2,im
16,ward.D2,2,im
17,ward.D2,2,im
18,ward.D2,2,im
19,ward.D2,2,im
20,ward.D2,2,im
21,ward.D2,2,im
22,ward.D2,2,im
23,ward.D2,2,im
24,ward.D2,2,im
25,ward.D2,2,im
26,ward.D2,2,im
27,ward.D2,2,im
28,ward.D2,2,im
29,ward.D2,2,im
30,ward.D2,3,im
2,single,3,im
3,single,3,im
4,single,3,im
5,single,3,im
6,single,2,im
7,single,2,im
8,single,2,im
9,single,2,im
10,single,2,im
11,single,2,im
12,single,2,im
13,single,2,im
14,single,2,im
15,single,2,im
16,single,2,im
17,single,2,im
18,single,2,im
19,single,2,im
20,single,2,im
21,single,2,im
22,single,2,im
23,single,2,im
24,single,2,im
25,single,2,im
26,single,2,im
27,single,2,im
28,single,2,im
29,single,2,im
30,single,3,im
2,complete,7,im
3,complete,3,im
4,complete,3,im
5,complete,3,im
6,complete,2,im
7,complete,2,im
8,complete,2,im
9,complete,2,im
10,complete,2,im
11,complete,2,im
12,complete,2,im
13,complete,2,im
14,complete,2,im
15,complete,2,im
16,complete,2,im
17,complete,2,im
18,complete,2,im
19,complete,2,im
20,complete,2,im
21,complete,2,im
22,complete,2,im
23,complete,2,im
24,complete,2,im
25,complete,2,im
26,complete,2,im
27,complete,2,im
28,complete,2,im
29,complete,2,im
30,complete,2,im
2,average,7,im
3,average,3,im
4,average,3,im
5,average,3,im
6,average,2,im
7,average,2,im
8,average,2,im
9,average,2,im
10,average,2,im
11,average,2,im
12,average,2,im
13,average,2,im
14,average,2,im
15,average,2,im
16,average,2,im
17,average,2,im
18,average,2,im
19,average,2,im
20,average,2,im
21,average,2,im
22,average,2,im
23,average,2,im
24,average,2,im
25,average,2,im
26,average,2,im
27,average,2,im
28,average,2,im
29,average,2,im
30,average,2,im
2,mcquitty,7,im
3,mcquitty,3,im
4,mcquitty,3,im
5,mcquitty,3,im
6,mcquitty,2,im
7,mcquitty,2,im
8,mcquitty,2,im
9,mcquitty,2,im
10,mcquitty,2,im
11,mcquitty,2,im
12,mcquitty,2,im
13,mcquitty,2,im
14,mcquitty,2,im
15,mcquitty,2,im
16,mcquitty,2,im
17,mcquitty,2,im
18,mcquitty,2,im
19,mcquitty,2,im
20,mcquitty,2,im
21,mcquitty,2,im
22,mcquitty,2,im
23,mcquitty,2,im
24,mcquitty,2,im
25,mcquitty,4,im
26,mcquitty,2,im
27,mcquitty,2,im
28,mcquitty,2,im
29,mcquitty,2,im
30,mcquitty,2,im
2,median,7,im
3,median,3,im
4,median,3,im
5,median,3,im
6,median,2,im
7,median,2,im
8,median,2,im
9,median,2,im
10,median,2,im
11,median,2,im
12,median,2,im
13,median,2,im
14,median,2,im
15,median,2,im
16,median,2,im
17,median,2,im
18,median,2,im
19,median,2,im
20,median,2,im
21,median,2,im
22,median,2,im
23,median,2,im
24,median,2,im
25,median,2,im
26,median,2,im
27,median,2,im
28,median,2,im
29,median,2,im
30,median,3,im
2,centroid,7,im
3,centroid,3,im
4,centroid,3,im
5,centroid,3,im
6,centroid,2,im
7,centroid,2,im
8,centroid,2,im
9,centroid,2,im
10,centroid,2,im
11,centroid,2,im
12,centroid,2,im
13,centroid,2,im
14,centroid,2,im
15,centroid,2,im
16,centroid,2,im
17,centroid,2,im
18,centroid,2,im
19,centroid,2,im
20,centroid,2,im
21,centroid,2,im
22,centroid,2,im
23,centroid,2,im
24,centroid,2,im
25,centroid,4,im
26,centroid,4,im
27,centroid,2,im
28,centroid,2,im
29,centroid,2,im
30,centroid,2,im
2,kmeans,7,im
3,kmeans,3,im
4,kmeans,3,im
5,kmeans,2,im
6,kmeans,2,im
7,kmeans,2,im
8,kmeans,2,im
9,kmeans,2,im
10,kmeans,2,im
11,kmeans,2,im
12,kmeans,2,im
13,kmeans,2,im
14,kmeans,2,im
15,kmeans,2,im
16,kmeans,2,im
17,kmeans,2,im
18,kmeans,2,im
19,kmeans,2,im
20,kmeans,2,im
21,kmeans,2,im
22,kmeans,2,im
23,kmeans,2,im
24,kmeans,2,im
25,kmeans,3,im
26,kmeans,2,im
27,kmeans,2,im
28,kmeans,2,im
29,kmeans,2,im
30,kmeans,3,im
