all.main.families,hex
Burkholderiaceae,#8A4DDF
Family_XIII,#67F3E1
Eggerthellaceae,#84B5CE
Christensenellaceae,#E6F7DE
Barnesiellaceae,#93AAD4
Xanthobacteraceae,#7064AE
Rhizobiaceae,#B9EF85
Streptococcaceae,#99D6DF
Atopobiaceae,#F0B4DD
Actinomycetaceae,#C05FE5
Gemmatimonadaceae,#D99E58
Sphingobacteriaceae,#E6E4EF
Propionibacteriaceae,#BAF4BB
Acetobacteraceae,#A5CAAA
Coriobacteriales_Incertae_Sedis,#F02ACA
Clostridiaceae,#D2F2F3
Chitinophagaceae,#7F30A6
Beijerinckiaceae,#ED81F0
Hyphomicrobiaceae,#4056DA
Reyranellaceae,#736CE0
Candidatus Jidaibacter,#DDF242
Oxalobacteraceae,#55EE71
Micrococcaceae,#D3F19D
Anaerovoracaceae,#76C0B2
Bifidobacteriaceae,#D3E8AF
Butyricicoccaceae,#42C5E5
Erysipelatoclostridiaceae,#BCCB33
Monoglobaceae,#E6CC5C
Morganellaceae,#99EAC8
Ruminiclostridium,#EED73B
UCG-010,#F6ECC7
Staphylococcaceae,#E5887C
Verrucomicrobiaceae,#E6414A
Roseiflexaceae,#5EADF3
Chthoniobacteraceae,#E8EC6D
Gemmataceae,#EB7A23
Hyphomonadaceae,#F2F0E4
NS11-12 marine group,#EE9FDF
Flavobacteriaceae,#95E944
Anaerococcus,#BFCEED
Rubinisphaeraceae,#C95F60
Pirellulaceae,#F1D7CF
Obscuribacteraceae,#E8D4A0
Devosiaceae,#BAB786
Glycomycetaceae,#86E0F6
Geodermatophilaceae,#52F1C2
Finegoldia,#CA62C1
A4b,#46B960
Alcaligenaceae,#BBF065
Anaerolineaceae,#6CBE4A
Arcobacteraceae,#4FF246
Armatimonadaceae,#A1A9F7
Babeliaceae,#DDB1F0
Bacteroidetes BD2-2,#B892C2
Bdellovibrionaceae,#88EDEA
Blastocatellaceae,#C4F1CC
Brevibacteriaceae,#D1A4BB
Caulobacteraceae,#8E8534
Cellulomonadaceae,#E5AA87
Chitinibacteraceae,#9FAFA8
Crocinitomicaceae,#DFEEC4
Cyanobiaceae,#EDADAB
Cyclobacteriaceae,#573790
Cytophagaceae,#DBBEA8
Defluviitaleaceae,#ED89DE
Dermabacteraceae,#659BA3
env.OPS 17,#BB6B43
Ezakiella,#EC38EC
Haliangiaceae,#6835E6
Hymenobacteraceae,#F68563
Iamiaceae,#ECCBD6
Ilumatobacteraceae,#B3F5E9
Intrasporangiaceae,#7A90ED
Isosphaeraceae,#F140A9
KD3-93,#EE71AF
Kineosporiaceae,#592F27
Legionellaceae,#8EF18A
Leuconostocaceae,#88C190
LiUU-11-161,#8C92D4
LWQ8,#65EB9C
Methanomassiliicoccaceae,#B26DAB
Methanoregulaceae,#A78EE7
Methylophilaceae,#E9D886
Micromonosporaceae,#B274E5
Neisseriaceae,#94CBF3
Nitrosopumilaceae,#ECAB39
Nitrososphaeraceae,#98EFB5
Nocardiaceae,#B6BCC6
Omnitrophaceae,#4D9C61
Paracaedibacteraceae,#F3F3B2
Pasteurellaceae,#4CCCA5
Pectobacteriaceae,#757658
Pedosphaeraceae,#C74A7C
Peptoniphilus,#D59BF2
Phormidiaceae,#8EC478
Planococcaceae,#E95BE0
Polyangiaceae,#BDBAEF
Prolixibacteraceae,#B69B74
Pseudanabaenaceae,#C2F1DE
Pseudonocardiaceae,#A57180
Rhizobiales Incertae Sedis,#B0CC64
Rhodanobacteraceae,#EAEB88
Rhodobacteraceae,#9F1B88
Rhodocyclaceae,#E7CDEB
Rubritaleaceae,#D0D9CE
Rubrobacteriaceae,#4F84C2
Sandaracinaceae,#54E7ED
Sanguibacteraceae,#DA45BA
Saprospiraceae,#7C7B97
Schlesneriaceae,#ED92AC
Selenomonadaceae,#BA36EA
Silvanigrellaceae,#42AFAE
Spirosomaceae,#A4CFC2
Terrimicrobiaceae,#F5CA90
UBA12409,#5BB2E4
Unknown Family,#487F76
Vagococcaceae,#9A827D
Vicinamibacteraceae,#B7B66A
Yersiniaceae,#B2E1F4
